Squad,# Pl,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,season,country
Botafogo (RJ),4,43,1.1,145,102,73.1,15,8,15,11,28.9,2022,BR
Ceará,3,41,1.1,166,123,78.3,7,16,15,8,21.1,2022,BR
Corinthians,3,36,1.0,157,122,80.9,18,11,9,14,36.8,2022,BR
Coritiba,3,60,1.6,189,128,70.4,12,6,20,9,23.7,2022,BR
Cuiabá,2,42,1.1,174,132,78.2,10,11,17,9,23.7,2022,BR
Flamengo,3,39,1.0,140,102,75.7,18,8,12,11,28.9,2022,BR
Fluminense,1,41,1.1,151,111,74.8,21,7,10,14,36.8,2022,BR
Fortaleza,3,39,1.0,167,130,79.0,15,10,13,15,39.5,2022,BR
Goiás,1,53,1.4,200,146,77.0,11,13,14,8,21.1,2022,BR
Internacional,2,31,0.8,148,117,81.8,20,13,5,18,47.4,2022,BR
Juventude,3,69,1.8,199,130,68.3,3,13,22,4,10.5,2022,BR
Palmeiras,3,27,0.7,124,99,80.6,23,12,3,19,50.0,2022,BR
Red Bull Bragantino,2,59,1.6,170,112,70.6,11,11,16,7,18.4,2022,BR
Santos,2,41,1.1,173,133,79.8,12,11,15,11,28.9,2022,BR
São Paulo,3,42,1.1,156,112,76.9,13,15,10,9,23.7,2022,BR
Arsenal,1,43,1.1,136,94,70.6,26,6,6,14,36.8,2022,EN
Aston Villa,2,46,1.2,151,108,72.8,18,7,13,12,31.6,2022,EN
Bournemouth,2,71,1.9,204,136,68.1,11,6,21,8,21.1,2022,EN
Brentford,1,46,1.2,197,154,77.7,15,14,9,12,31.6,2022,EN
Brighton,2,53,1.4,131,82,64.1,18,8,12,12,31.6,2022,EN
Chelsea,2,47,1.2,159,115,71.1,11,11,16,10,26.3,2022,EN
Crystal Palace,3,49,1.3,160,114,71.9,11,12,15,9,23.7,2022,EN
Everton,2,57,1.5,185,127,71.9,8,12,18,9,23.7,2022,EN
Fulham,2,53,1.4,196,144,76.5,15,7,16,9,23.7,2022,EN
Leeds United,2,78,2.0,185,108,60.5,7,10,21,5,13.2,2022,EN
