Squad,Poss,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,season,country
Freiburg,47.3,19508,2360,7174,8373,4125,609,19502,423,230,54.4,193,45.6,10518,53310,26290,463,326,111,531,231,12048,1155,2020,GE
Gladbach,51.7,22732,2265,7428,11085,4422,763,22721,533,319,59.8,214,40.2,12817,63854,33959,613,415,187,548,299,15116,1363,2020,GE
Hertha BSC,49.6,19978,2070,6901,9353,3935,652,19972,571,329,57.6,242,42.4,11197,62916,31992,589,394,171,563,310,12472,1163,2020,GE
Hoffenheim,51.2,21927,2268,7085,10005,5044,741,21921,553,279,50.5,274,49.5,12424,62580,31672,581,420,136,613,280,14162,1510,2020,GE
Köln,46.3,19708,2347,7305,8641,3948,524,19702,420,238,56.7,182,43.3,10391,52262,25676,429,304,84,576,264,11840,1120,2020,GE
Leverkusen,59.7,25357,2233,7430,12821,5329,785,25354,710,426,60.0,284,40.0,14600,78526,39850,724,500,202,620,335,17759,1510,2020,GE
Mainz 05,40.7,17743,2093,6262,7633,4007,638,17738,488,268,54.9,220,45.1,8673,45474,23394,442,303,110,577,279,9456,1034,2020,GE
RB Leipzig,59.7,25102,1819,6354,12853,6087,936,25092,523,315,60.2,208,39.8,14430,72649,37531,624,530,164,546,326,17381,1703,2020,GE
Schalke 04,44.7,18697,2520,7325,8398,3172,478,18694,617,333,54.0,284,46.0,9957,52079,25372,452,336,92,592,352,11016,936,2020,GE
Stuttgart,51.5,21757,2468,7152,10263,4594,745,21749,668,413,61.8,255,38.2,11998,68676,36144,701,512,188,640,410,14042,1462,2020,GE
Union Berlin,44.9,19568,2073,6988,8984,3800,562,19561,389,206,53.0,183,47.0,9945,52102,26037,464,372,90,547,230,11751,1045,2020,GE
Werder Bremen,43.9,19371,2267,7028,9010,3529,503,19366,367,188,51.2,179,48.8,9948,49831,25337,414,293,83,521,268,11552,1054,2020,GE
Wolfsburg,51.1,21358,2083,6589,10048,4952,747,21355,483,296,61.3,186,38.5,11549,60072,30460,595,469,139,618,296,13031,1381,2020,GE
Atalanta,54.6,26392,1779,6640,12068,7924,1147,26385,707,396,56.0,309,43.7,15724,78882,39413,874,658,256,680,406,17945,2056,2020,IT
Benevento,42.6,19178,2349,7076,8190,4126,698,19171,452,273,60.4,179,39.6,9800,53706,27355,512,377,123,513,289,11461,1083,2020,IT
Bologna,50.8,22798,2727,7475,10035,5490,764,22794,628,345,54.9,283,45.1,12688,68899,34588,706,473,176,598,305,14515,1495,2020,IT
Cagliari,44.8,20989,2354,7007,9356,4876,712,20984,605,336,55.5,269,44.5,10944,60997,31667,589,461,122,532,281,12936,1217,2020,IT
Crotone,46.3,21226,2904,8260,9199,3983,577,21217,623,385,61.8,237,38.0,11536,61128,30798,582,386,119,610,366,13427,1206,2020,IT
Fiorentina,46.3,20902,2094,6147,9711,5257,659,20896,575,325,56.5,250,43.5,11680,63011,31755,637,499,114,561,422,13327,1345,2020,IT
Genoa,44.8,22041,2592,7852,10124,4302,575,22037,541,294,54.3,246,45.5,12400,60464,29847,523,393,118,589,305,13839,1155,2020,IT
