Squad,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,season,country
Genoa,15587,13605,1910,559,29,74,661,777,155,57,76,1,11185,72,365,2021,IT
Hellas Verona,17398,15513,1788,467,36,101,593,777,166,75,43,0,13047,97,347,2021,IT
Inter,21832,20151,1624,448,54,207,809,630,252,73,141,2,18367,57,339,2021,IT
Juventus,19835,18065,1696,533,41,193,550,662,169,72,66,2,16459,74,297,2021,IT
Lazio,23041,21310,1687,520,54,137,574,663,176,74,71,0,19632,44,296,2021,IT
Milan,19320,17512,1728,564,45,122,672,653,195,61,86,0,15719,80,297,2021,IT
Napoli,22921,21114,1740,536,45,199,553,693,197,85,51,0,19572,67,337,2021,IT
Roma,18828,16921,1847,548,45,136,735,748,238,130,95,0,15221,60,292,2021,IT
Salernitana,14461,12521,1899,576,12,90,698,695,185,56,111,1,10680,41,320,2021,IT
Sampdoria,17022,15064,1876,582,35,151,645,726,143,33,73,0,12901,82,339,2021,IT
Sassuolo,20327,18421,1863,629,59,179,541,612,198,96,62,1,17027,43,315,2021,IT
Spezia,15503,13609,1817,509,32,92,534,731,152,76,58,2,11650,77,318,2021,IT
Torino,18082,16280,1718,519,28,118,663,699,168,80,55,0,13943,84,331,2021,IT
Udinese,15251,13384,1789,523,37,80,519,688,187,64,75,1,11650,78,297,2021,IT
Venezia,15320,13487,1772,493,27,113,585,714,123,57,54,0,11575,61,335,2021,IT
América (MG),15723,13682,1981,508,26,122,783,841,213,53,101,1,11599,60,350,2022,BR
Ath Paranaense,14833,12858,1919,447,25,181,612,821,200,88,66,1,11158,56,266,2022,BR
Atl Goianiense,17709,15850,1803,458,32,183,765,719,205,73,93,0,14186,56,310,2022,BR
Atlético Mineiro,21310,19447,1806,514,29,141,789,731,250,102,86,3,17665,57,298,2022,BR
Avaí,17767,15777,1935,591,33,112,646,730,170,61,78,1,14036,55,319,2022,BR
Botafogo (RJ),16663,14664,1948,632,31,129,618,764,177,37,127,1,13062,51,304,2022,BR
Ceará,16744,14691,1985,625,30,143,806,749,205,75,103,2,13081,68,299,2022,BR
Corinthians,20623,18676,1900,482,35,163,613,826,187,72,73,0,16802,47,344,2022,BR
Coritiba,15733,13743,1934,551,22,144,782,740,205,84,83,0,12230,56,299,2022,BR
Cuiabá,15500,13571,1879,510,18,115,839,747,216,78,118,1,11759,50,353,2022,BR
Flamengo,20558,18705,1802,566,61,118,780,655,242,136,61,4,17215,51,303,2022,BR
Fluminense,22006,19953,1994,630,50,126,713,767,227,88,73,3,18664,59,359,2022,BR
Fortaleza,15140,13210,1862,488,31,114,658,791,202,103,82,1,11311,68,319,2022,BR
Goiás,13078,11170,1853,510,14,94,641,729,132,56,64,0,9579,55,268,2022,BR
Internacional,18163,16321,1793,558,35,88,664,656,202,70,108,1,14610,49,336,2022,BR
Juventude,15890,13909,1932,536,18,119,766,695,205,70,111,0,12244,49,282,2022,BR
Palmeiras,18115,16089,1934,516,32,207,882,767,300,124,107,2,14450,92,297,2022,BR
Red Bull Bragantino,17196,15288,1850,482,31,193,830,764,216,152,31,2,13405,58,286,2022,BR
Santos,16885,14937,1892,584,32,140,730,710,205,75,93,0,13298,56,306,2022,BR
São Paulo,19554,17581,1907,489,23,192,787,781,231,74,143,0,15925,66,331,2022,BR
Arsenal,21969,20293,1620,516,86,97,674,615,223,154,8,3,18281,56,379,2022,EN
Aston Villa,17396,15544,1794,599,54,101,561,684,162,97,19,4,13782,58,325,2022,EN
Bournemouth,15381,13607,1736,424,48,87,509,706,144,88,25,9,11715,38,342,2022,EN
Brentford,15551,13766,1713,453,53,107,661,738,163,83,34,12,11317,72,303,2022,EN
Brighton,22888,21109,1709,445,81,130,694,693,233,102,88,2,19210,70,383,2022,EN
Chelsea,22836,20995,1767,503,58,129,693,722,209,108,70,2,19147,74,371,2022,EN
Crystal Palace,17308,15416,1834,525,41,118,591,763,186,84,60,5,13395,58,350,2022,EN
Everton,15783,13984,1735,434,39,93,704,707,174,138,28,0,11790,64,311,2022,EN
Fulham,18014,16136,1818,471,20,157,769,795,182,70,69,2,13974,60,393,2022,EN
Leeds United,16924,14953,1911,484,41,87,653,837,199,93,68,4,12437,60,414,2022,EN
Leicester City,18871,17049,1739,464,76,93,496,724,135,70,41,6,14887,83,393,2022,EN
Liverpool,24361,22466,1811,416,103,198,799,860,235,56,155,1,20043,84,383,2022,EN
Manchester City,26642,25047,1544,440,94,177,742,614,238,72,87,11,23263,51,350,2022,EN
Manchester Utd,20525,18827,1619,325,105,165,517,715,196,71,47,4,16603,79,420,2022,EN
Newcastle Utd,17837,16020,1746,447,88,142,740,728,270,106,90,15,13925,71,370,2022,EN
Nott'ham Forest,13606,11801,1738,446,31,66,530,720,128,65,53,1,9543,67,313,2022,EN
Southampton,16391,14585,1749,426,38,87,613,752,157,63,65,2,12319,57,375,2022,EN
Tottenham,19672,17950,1655,404,74,165,719,664,203,113,51,0,15972,67,414,2022,EN
West Ham,16357,14625,1670,347,41,162,768,722,206,129,57,1,12369,62,390,2022,EN
